Year,Brazil,Finland,France,Hungary,Israel,Italy,Japan,Russia,Sweden,Switzerland,Ukraine,United Kingdom,United States
1936,0.0,27.685492801771876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7841845656793783
1950,0.0,24.950099800399204,2.3904001529856096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2594141205511196
1954,0.0,23.85496183206107,4.648460197559559,0.0,0.0,0.0,1.136609040588309,0.0,0.0,0.0,0.0,0.0,1.7779252797269107
1958,0.0,22.920009168003666,6.71757092635303,0.0,0.0,0.0,1.088399834563225,0.0,0.0,0.0,0.0,1.9321804656554922,1.659402172710578
1962,0.0,22.22716159146477,6.395633913914768,0.0,0.0,0.0,1.0475701610115338,0.0,13.192612137203167,0.0,0.0,1.8829200323862247,2.0799317782376736
1966,0.0,21.829294913774284,8.124631852619178,0.0,0.0,0.0,1.0040563878067392,0.0,12.805736970162632,0.0,0.0,3.665084571826495,2.9718270792883468
1970,0.0,21.682567215958368,7.87959971633441,0.0,0.0,0.0,0.9530253790658446,0.7683501217834943,12.414649286157665,0.0,0.0,7.197739909668364,3.3410814603389762
1974,0.0,21.281123643328367,7.639857134671582,0.0,0.0,1.8195713089995997,0.9007142664132658,0.751698839376992,12.233912405187178,0.0,0.0,7.1311416957854945,3.684683232388366
1978,0.0,21.017234131988232,9.359264736162327,0.0,0.0,1.7860651199342727,0.8629691315941629,1.467782181124321,12.081672103419113,0.0,0.0,7.116677934740063,4.440043867633412
1982,0.0,20.682523267838675,11.031236785497601,0.0,0.0,1.7653808809250595,0.8360854479327786,1.4290307598871066,12.006243246488173,0.0,0.0,7.1122490709624655,5.132109040210074
1986,0.0,20.28397565922921,10.802052389954092,0.0,0.0,1.7548785624034817,0.8162665600078362,1.388937115872079,11.926058437686345,0.0,0.0,8.84595651327778,5.766941420232902
1990,0.0,20.0160128102482,10.588173010746996,0.0,0.0,1.7529098303183284,1.606361190313642,1.35563809885313,11.67269756040621,0.0,1.9431436177447874,8.751356460251339,6.34618435665556
1994,0.0,19.619383951343927,15.62852727178009,0.0,0.0,1.7478239591708324,1.5866341935535053,1.3481722155188105,11.366219595362582,0.0,1.9551106592633145,8.656060107681387,6.48258662833043
1998,0.0,19.364833462432223,17.11039627677777,0.0,0.0,1.7623319175933594,1.5733536820409546,1.3572112024212648,11.272686281140796,0.0,2.0101714676261886,11.963766877456845,7.268102116834741
2002,0.0,19.18281220026856,18.393726067254153,0.0,0.0,1.7487714880296592,1.5638072451189666,1.3772587042750108,11.209505660800358,0.0,2.084201750729471,11.799211138455314,7.309966965911188
2003,0.0,19.131432944327532,19.916351324437365,0.0,0.0,1.7371666811430555,1.561792312858236,1.3830206554134887,11.171936096525528,0.0,2.101635072086083,11.752656939943924,7.245976757666933
2004,0.0,19.07668828691339,19.770008896504006,0.0,0.0,1.7256850969835025,1.5600137281208075,1.3881080780949604,11.122233344455566,0.0,2.1178812715759157,15.031817346717219,7.86714781686648
2005,0.0,19.01502186727515,19.63350785340314,0.0,0.0,1.7158250544774456,1.5585306173339775,1.3920596915195722,11.063170704723973,0.0,2.132605404022094,14.928343949044587,8.135758693397154
2006,0.0,18.95016107636915,21.13511843795217,0.0,0.0,1.708146148984507,1.5573534335749826,1.3946709622532305,21.987686895338612,0.0,2.145600446284893,14.79752059321616,8.731893914205783
2007,0.0,18.87504718761797,21.012138550808967,0.0,0.0,1.702185606318513,1.5564929101747942,1.3960046347353874,21.826912583215105,0.0,2.1567527929948667,14.64486209421528,8.981796891632957
2008,0.0,18.80052641473961,22.504782266231572,0.0,0.0,1.6971589559078104,1.5559480002178327,1.3961703048537861,21.654395842356,0.0,2.1664247492363353,14.482259232440262,9.226125752094001
2009,0.0,18.71958068139274,23.983499352445516,0.0,0.0,1.69187561330491,1.5557543463887054,1.395410494882332,21.47535702781059,0.0,2.1752844184377107,14.324595330181923,9.141125925539
