"Year","ICMLocation","MedalistEntity","Medalist","AffiliationWhenAwarded","AffiliationWhenAwardedCountry","AffiliationCurrent","AffiliationCurrentCountry","Citation"
"DateObject[{1966}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Moscow"", ""Moscow"", ""Russia""}]","Entity[""Person"", ""StephenSmale::tm48g""]","Stephen Smale","University of California, Berkeley, US","Entity[""Country"", ""UnitedStates""]","City University of Hong Kong, Hong Kong","Entity[""Country"", ""HongKong""]","Worked in differential topology where he proved the generalized Poincaré conjecture in dimension n>=5: Every closed, n-dimensional manifold homotopy-equivalent to the n-dimensional sphere is homeomorphic to it. Introduced the method of handle-bodies to solve this and related problems."
"DateObject[{1970}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Nice"", ""ProvenceAlpesCoteDAzur"", ""France""}]","Entity[""Person"", ""AlanBaker::8s84y""]","Alan Baker","University of Cambridge, UK","Entity[""Country"", ""UnitedKingdom""]","Trinity College, Cambridge, UK","Entity[""Country"", ""UnitedKingdom""]","Generalized the Gelfond-Schneider theorem (the solution to Hilbert's seventh problem). From this work he generated transcendental numbers not previously identified."
"DateObject[{1970}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Nice"", ""ProvenceAlpesCoteDAzur"", ""France""}]","Entity[""Person"", ""HeisukeHironaka::bpr96""]","Heisuke Hironaka","Harvard University, US","Entity[""Country"", ""UnitedStates""]","Kyoto University, Japan","Entity[""Country"", ""Japan""]","Generalized work of Zariski who had proved for dimension <=3 the theorem concerning the resolution of singularities on an algebraic variety. Hironaka proved the results in any dimension."
"DateObject[{1970}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Nice"", ""ProvenceAlpesCoteDAzur"", ""France""}]","Entity[""Person"", ""JohnGriggsThompson::wcmc8""]","John G. Thompson","University of Cambridge, UK","Entity[""Country"", ""UnitedKingdom""]","University of Cambridge, UK University of Florida, US","Entity[""Country"", ""UnitedStates""]","Proved jointly with W. Feit that all non-cyclic finite simple groups have even order. The extension of this work by Thompson determined the minimal simple finite groups, that is, the simple finite groups whose proper subgroups are solvable."
"DateObject[{1970}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Nice"", ""ProvenceAlpesCoteDAzur"", ""France""}]","Missing[""NotAvailable""]","Sergei Novikov","Moscow State University, USSR","Missing[""NotAvailable""]","Steklov Mathematical Institute, Russia Moscow State University, Russia University of Maryland-College Park, US","Entity[""Country"", ""UnitedStates""]","Made important advances in topology, the most well-known being his proof of the topological invariance of the Pontrjagin classes of the differentiable manifold. His work included a study of the cohomology and homotopy of Thom spaces."
"DateObject[{1974}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Vancouver"", ""BritishColumbia"", ""Canada""}]","Entity[""Person"", ""EnricoBombieri::74p74""]","Enrico Bombieri","University of Pisa, Italy","Entity[""Country"", ""Italy""]","Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","Major contributions in the primes, in univalent functions and the local Bieberbach conjecture, in theory of functions of several complex variables, and in theory of partial differential equations and minimal surfaces - in particular, to the solution of Bernstein's problem in higher dimensions."
"DateObject[{1974}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Vancouver"", ""BritishColumbia"", ""Canada""}]","Entity[""Person"", ""DavidBryantMumford::d44k2""]","David Mumford","Harvard University, US","Entity[""Country"", ""UnitedStates""]","Brown University, US","Entity[""Country"", ""UnitedStates""]","Contributed to problems of the existence and structure of varieties of moduli, varieties whose points parametrize isomorphism classes of some type of geometric object. Also made several important contributions to the theory of algebraic surfaces."
"DateObject[{1978}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Helsinki"", ""Uusimaa"", ""Finland""}]","Entity[""Person"", ""PierreDeligne::2m776""]","Pierre Deligne","Institut des Hautes Études Scientifiques, France","Entity[""Country"", ""France""]","Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","Gave solution of the three Weil conjectures concerning generalizations of the Riemann hypothesis to finite fields. His work did much to unify algebraic geometry and algebraic number theory."
"DateObject[{1978}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Helsinki"", ""Uusimaa"", ""Finland""}]","Entity[""Person"", ""CharlesLouisFefferman::3d354""]","Charles Fefferman","Princeton University, US","Entity[""Country"", ""UnitedStates""]","Princeton University, US","Entity[""Country"", ""UnitedStates""]","Contributed several innovations that revised the study of multidimensional complex analysis by finding correct generalizations of classical (low-dimensional) results."
"DateObject[{1978}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Helsinki"", ""Uusimaa"", ""Finland""}]","Entity[""Person"", ""DanielGrayQuillen::3v7y2""]","Daniel Quillen","Massachusetts Institute of Technology, US","Entity[""Country"", ""UnitedStates""]","University of Oxford, UK","Entity[""Country"", ""UnitedKingdom""]","The prime architect of the higher algebraic K-theory, a new tool that successfully employed geometric and topological methods and ideas to formulate and solve major problems in algebra, particularly ring theory and module theory."
"DateObject[{1978}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Helsinki"", ""Uusimaa"", ""Finland""}]","Entity[""Person"", ""GrigoryMargulis::ggg9d""]","Grigori Margulis","Moscow State University, USSR","Missing[""NotAvailable""]","Yale University, US","Entity[""Country"", ""UnitedStates""]","Provided innovative analysis of the structure of Lie groups. His work belongs to combinatorics, differential geometry, ergodic theory, dynamical systems, and Lie groups."
"DateObject[{1982}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Warsaw"", ""Mazowieckie"", ""Poland""}]","Entity[""Person"", ""AlainConnes::9ypxr""]","Alain Connes","Institut des Hautes Études Scientifiques, France","Entity[""Country"", ""France""]","Institut des Hautes Études Scientifiques, France Collège de France, France Ohio State University, US","Entity[""Country"", ""UnitedStates""]","Contributed to the theory of operator algebras, particularly the general classification and structure theorem of factors of type III, classification of automorphisms of the hyperfinite factor, classification of injective factors, and applications of the theory of C*-algebras to foliations and differential geometry in general."
"DateObject[{1982}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Warsaw"", ""Mazowieckie"", ""Poland""}]","Entity[""Person"", ""WilliamPaulThurston::m38w7""]","William Thurston","Princeton University, US","Entity[""Country"", ""UnitedStates""]","Cornell University, US","Entity[""Country"", ""UnitedStates""]","Revolutionized study of topology in 2 and 3 dimensions, showing interplay between analysis, topology, and geometry. Contributed idea that a very large class of closed 3-manifolds carry a hyperbolic structure."
